epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.77937,1.14356,0.5,1,1.14155,4.287e-05,4.287e-05,4.287e-05
2,5.49077,0.97294,0.5,1,1.08201,9.50785e-05,9.50785e-05,9.50785e-05
3,7.71373,0.82183,0.5,1,1.02463,0.000141628,0.000141628,0.000141628
4,9.87227,0.73328,0.5,1,0.983,0.000182519,0.000182519,0.000182519
5,12.1189,0.4605,0.5,1,0.9813,0.000217751,0.000217751,0.000217751
6,14.4242,0.53487,0.5,1,0.98902,0.000247324,0.000247324,0.000247324
7,16.5209,0.32289,0.5,1,0.98999,0.000271238,0.000271238,0.000271238
8,18.4906,0.29893,0.5,1,0.94875,0.000289494,0.000289494,0.000289494
9,20.6276,0.26085,0.75,1,0.94582,0.000302091,0.000302091,0.000302091
10,23.0351,0.27828,0.75,1,0.96832,0.000309028,0.000309028,0.000309028
11,25.1383,0.22459,0.75,1,0.88961,0.000310307,0.000310307,0.000310307
12,27.2428,0.17582,0.75,1,0.7651,0.000305927,0.000305927,0.000305927
13,29.2648,0.24496,0.75,1,0.69925,0.000295889,0.000295889,0.000295889
14,31.3769,0.19194,0.75,1,0.61633,0.000280191,0.000280191,0.000280191
15,33.4407,0.37806,0.75,1,0.6944,0.000258835,0.000258835,0.000258835
16,35.5014,0.14598,0.75,1,0.6944,0.00023182,0.00023182,0.00023182
17,37.7167,0.26683,0.75,1,0.68984,0.000199145,0.000199145,0.000199145
18,39.7629,0.1517,0.75,1,0.71107,0.000160813,0.000160813,0.000160813
19,42.1424,0.09876,0.75,1,0.71107,0.000116821,0.000116821,0.000116821
20,44.2924,0.17275,0.75,1,0.64986,6.71701e-05,6.71701e-05,6.71701e-05
